country,iso3,temp_2000,temp_2010,temp_2020,temp_2022,_cleaned_at
Pakistan,PAK,0.668,1.29,0.394,1.389,2026-01-20T19:25:15.564441
"Palau, Rep. of",PLW,0.399,0.598,,1.672,2026-01-20T19:25:15.564441
Panama,PAN,0.144,0.978,1.481,0.728,2026-01-20T19:25:15.564441
Papua New Guinea,PNG,0.377,1.007,1.082,1.221,2026-01-20T19:25:15.564441
Paraguay,PRY,0.101,0.326,1.369,0.649,2026-01-20T19:25:15.564441
Peru,PER,0.325,1.063,1.778,0.878,2026-01-20T19:25:15.564441
Philippines,PHL,0.673,1.065,1.56,1.405,2026-01-20T19:25:15.564441
Pitcairn Islands,PCN,0.332,-0.11,,,2026-01-20T19:25:15.564441
"Poland, Rep. of",POL,1.887,0.403,2.677,2.056,2026-01-20T19:25:15.564441
Portugal,PRT,0.665,1.122,1.99,2.318,2026-01-20T19:25:15.564441
Puerto Rico,PRI,0.273,1.177,1.349,0.848,2026-01-20T19:25:15.564441
Qatar,QAT,0.944,2.001,1.734,1.855,2026-01-20T19:25:15.564441
Romania,ROU,1.338,1.167,2.256,1.949,2026-01-20T19:25:15.564441
Russian Federation,RUS,1.319,0.88,3.691,2.261,2026-01-20T19:25:15.564441
Rwanda,RWA,,,,,2026-01-20T19:25:15.564441
Saint Helena,SHN,1.465,1.135,1.407,1.686,2026-01-20T19:25:15.564441
Saint Pierre and Miquelon,SPM,1.095,1.311,0.742,1.944,2026-01-20T19:25:15.564441
Samoa,WSM,0.537,1.246,1.332,1.156,2026-01-20T19:25:15.564441
"San Marino, Rep. of",SMR,1.403,0.696,1.995,2.115,2026-01-20T19:25:15.564441
"São Tomé and Príncipe, Dem. Rep. of",STP,0.408,1.049,1.624,1.321,2026-01-20T19:25:15.564441
Saudi Arabia,SAU,0.787,2.18,1.488,1.745,2026-01-20T19:25:15.564441
Senegal,SEN,0.918,1.432,1.665,1.405,2026-01-20T19:25:15.564441
"Serbia, Rep. of",SRB,,1.161,1.816,1.938,2026-01-20T19:25:15.564441
Seychelles,SYC,0.406,1.019,1.434,0.872,2026-01-20T19:25:15.564441
Sierra Leone,SLE,,1.405,1.526,1.328,2026-01-20T19:25:15.564441
Singapore,SGP,,1.059,1.585,1.311,2026-01-20T19:25:15.564441
Slovak Rep.,SVK,1.621,0.685,2.027,2.018,2026-01-20T19:25:15.564441
"Slovenia, Rep. of",SVN,1.782,0.769,2.228,2.435,2026-01-20T19:25:15.564441
Solomon Islands,SLB,0.563,0.69,1.185,1.038,2026-01-20T19:25:15.564441
Somalia,SOM,0.421,1.091,1.724,1.449,2026-01-20T19:25:15.564441
South Africa,ZAF,0.271,1.083,0.89,1.094,2026-01-20T19:25:15.564441
"South Sudan, Rep. of",SSD,,,0.69,0.983,2026-01-20T19:25:15.564441
Spain,ESP,0.81,0.908,2.083,2.489,2026-01-20T19:25:15.564441
Sri Lanka,LKA,0.462,1.105,1.315,1.004,2026-01-20T19:25:15.564441
St. Kitts and Nevis,KNA,0.335,1.153,1.131,0.77,2026-01-20T19:25:15.564441
St. Lucia,LCA,0.337,1.177,1.161,0.689,2026-01-20T19:25:15.564441
St. Vincent and the Grenadines,VCT,0.459,1.2,1.229,0.698,2026-01-20T19:25:15.564441
Sudan,SDN,,,0.458,0.773,2026-01-20T19:25:15.564441
Suriname,SUR,0.657,1.509,1.682,1.296,2026-01-20T19:25:15.564441
Sweden,SWE,1.721,-0.279,2.943,2.11,2026-01-20T19:25:15.564441
Switzerland,CHE,1.42,0.459,2.514,2.798,2026-01-20T19:25:15.564441
Syrian Arab Rep.,SYR,0.668,2.475,1.868,1.535,2026-01-20T19:25:15.564441
Taiwan Province of China,TWN,0.427,0.535,1.728,1.383,2026-01-20T19:25:15.564441
"Tajikistan, Rep. of",TJK,0.938,1.342,1.034,2.074,2026-01-20T19:25:15.564441
"Tanzania, United Rep. of",TZA,0.53,1.013,1.091,0.911,2026-01-20T19:25:15.564441
Thailand,THA,0.14,1.405,1.596,1.014,2026-01-20T19:25:15.564441
"Timor-Leste, Dem. Rep. of",TLS,,0.971,1.996,1.315,2026-01-20T19:25:15.564441
Togo,TGO,0.523,1.249,1.134,0.975,2026-01-20T19:25:15.564441
Tokelau,TKL,,,,,2026-01-20T19:25:15.564441
Tonga,TON,0.272,0.869,1.398,0.846,2026-01-20T19:25:15.564441
Trinidad and Tobago,TTO,0.512,1.247,1.395,0.714,2026-01-20T19:25:15.564441
Tunisia,TUN,1.014,1.752,2.015,2.291,2026-01-20T19:25:15.564441
Turkmenistan,TKM,1.302,1.891,1.528,2.528,2026-01-20T19:25:15.564441
Turks and Caicos Islands,TCA,0.592,1.185,1.547,0.944,2026-01-20T19:25:15.564441
Tuvalu,TUV,0.501,0.922,1.195,0.663,2026-01-20T19:25:15.564441
Uganda,UGA,0.273,1.425,1.236,1.416,2026-01-20T19:25:15.564441
Ukraine,UKR,1.439,1.649,3.026,1.931,2026-01-20T19:25:15.564441
United Arab Emirates,ARE,0.681,1.482,1.21,1.482,2026-01-20T19:25:15.564441
United Kingdom,GBR,0.724,-0.05,1.373,1.911,2026-01-20T19:25:15.564441
United States,USA,1.0,0.695,1.324,1.217,2026-01-20T19:25:15.564441
United States Virgin Islands,VIR,0.202,1.054,1.32,0.894,2026-01-20T19:25:15.564441
Uruguay,URY,0.333,0.261,0.89,0.382,2026-01-20T19:25:15.564441
"Uzbekistan, Rep. of",UZB,1.435,1.827,1.721,2.607,2026-01-20T19:25:15.564441
Vanuatu,VUT,0.777,0.878,1.226,1.479,2026-01-20T19:25:15.564441
"Venezuela, Rep. Bolivariana de",VEN,0.298,1.227,1.35,0.533,2026-01-20T19:25:15.564441
Vietnam,VNM,0.129,1.092,1.477,1.033,2026-01-20T19:25:15.564441
Wallis and Futuna Islands,WLF,0.425,0.93,1.274,0.951,2026-01-20T19:25:15.564441
West Bank and Gaza,PSE,0.249,2.326,1.455,1.074,2026-01-20T19:25:15.564441
Western Sahara,ESH,0.874,1.898,2.069,1.97,2026-01-20T19:25:15.564441
World,WLD,0.728,1.219,1.711,1.394,2026-01-20T19:25:15.564441
"Yemen, Rep. of",YEM,,,,,2026-01-20T19:25:15.564441
Zambia,ZMB,-0.04,1.21,0.891,0.686,2026-01-20T19:25:15.564441
Zimbabwe,ZWE,-0.417,0.935,0.389,-0.49,2026-01-20T19:25:15.564441
